date	nkill	nwound	Sum of ishostkid	Sum of propvalue	Sum of propextent	Sum of property	Sum of nwoundte	Sum of nwoundus	Sum of nkillter	Sum of nkillus
1970	174	212	52	32072893	1278	152	1	132	15	28
1971	173	82	27	3769300	834	174	0	48	4	15
1972	566	409	29	12423950	396	203	2	23	18	12
1973	370	495	56	13497753	339	187	1	87	21	73
1974	539	865	50	18352620	563	309	7	63	22	17
1975	617	617	43	5826176	1163	502	4	18	106	22
1976	674	756	57	21443374	1390	557	3	31	16	6
1977	457	521	103	146337656	2392	929	3	8	20	9
1978	1459	1600	157	55530604	2692	976	6	28	34	11
1979	2100	2506	246	67758236	4650	1733	9	34	97	16
1980	4391	3637	237	158127102,8	3301	1621	14	11	83	18
1981	4851	3337	224	100698960,9	4688	1840	24	14	48	10
1982	5135	3342	239	748203152	5059	1938	15	7	96	10
1983	9444	4047	218	86918371,1	5140	2250	8	81	110	276
1984	10450	5291	163	72102475	4516	2858	15	798	251	9
1985	7094	5112	182	56570654	4108	2380	10	41	207	58
1986	4976	5814	129	42594770	3184	2232	16	99	187	11
1987	6482	5775	134	93898930	2780	2585	3	42	57	7
1988	7206	6960	132	92179000	2415	2743	4	22	36	201
1989	8152	5539	168	164685248	1688	3245	4	36	22	20
1990	7036	6053	183	43551782	1817	2845	3	46	14	18
1991	8429	7591	244	187464300	1938	3720	3	23	29	18
1992	9745	10006	203	2806137400	1023	3762	8	18	11	26
1994	7690	7569	237	59185765	389	2362	11	21	94	19
1995	6103	14295	173	655383008	156	2081	6	787	156	195
1996	6966	10760	193	1296774701	138	2303	2	231	53	36
1997	10906	8968	341	28904937	161	2353	53	61	206	14
1998	4688	8183	11	30925721	1655	-348	16	3	627	135
1999	3394	5405	134	18902047	2357	-452	34	39	280	25
2000	4394	5797	121	8436641	3068	-2013	40	53	401	43
2001	7727	28137	98	366653872,6	2974	-1001	51	50	426	2918
2002	4797	7079	55	133119802	2720	-2282	23	31	372	27
2003	3317	7384	53	28029358	2293	-1856	32	93	303	54
2004	5716	11976	95	42005000	1828	-907	256	248	781	130
2005	6343	12961	119	1914718	3799	-4553	30	78	407	59
2006	9316	15470	144	11864802	3599	-5690	109	19	447	20
2007	12825	22531	167	36940477	3050	-7867	120	86	1026	27
2008	9157	18998	394	7853090,59	9124	-10102	79	71	757	61
2009	9277	19147	365	5165876,51	11551	-9995	55	71	666	33
2010	7829	15953	459	2597730	9046	-6914	125	33	641	20
2011	8246	14662	382	5131686,45	7788	-7589	231	102	844	29
2012	15494	25446	328	10967406,42	11367	-2982	444	167	3045	221
2013	22280	37690	581	23787402,19	14917	-8237	557	219	3547	128
2014	44524	41177	935	126586057,6	22290	-21689	1848	38	10344	86
2015	38993	44204	921	2965501,45	15073	-22954	2970	80	11674	88
2016	35236	40576	739	211478188,7	13883	-19917	2722	217	11817	92
2017	26892	25487	620	14232332,85	11347	-13346	2251	146	8249	111
2018	23290	20607	206	10780138,74	10373	-21709	2428	95	7434	64
2019	20329	18714	179	32295251,52	9593	-15318	1837	134	5469	66
